,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,new_addition,trending,go_id,cran_id,pypi,gem_id,hex_id,updated_github_id,bitbucket_id
10,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,30,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-04-09 15:20:28.000000,2021-04-09 15:20:28.000000,148.0,89.0,184.0,255.0,1754.0,,,,7828675.0,26.0,74049.0,74049.0,108.0,https://pypi.org/project/qtconsole,7798651.0,https://anaconda.org/conda-forge/qtconsole,2021-03-17 01:59:30.155000,1771462.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
11,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/pandas-profiling/pandas-profiling,,widgets,29,True,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-04-15 08:47:44.000000,2021-04-15 08:23:14.000000,1055.0,72.0,382.0,7110.0,784.0,2021-02-20 14:18:35.000000,2.11.0,,376517.0,27.0,3666.0,3666.0,75.0,https://pypi.org/project/pandas-profiling,374423.0,https://anaconda.org/conda-forge/pandas-profiling,2021-02-20 16:48:07.057000,117316.0,1.0,,,,,,,MIT,,,,,,,,,,,
12,Jupyter Book,"Build interactive, publication-quality documents from Jupyter Notebooks.",https://github.com/executablebooks/jupyter-book,,notebook-sharing,29,True,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,2018-06-14 01:55:51.000000,2021-04-13 06:32:45.000000,2021-04-11 19:01:13.000000,307.0,285.0,487.0,2164.0,1235.0,2021-04-04 20:21:43.000000,0.10.2,,15130.0,28.0,2172.0,2172.0,75.0,https://pypi.org/project/jupyter-book,15130.0,,,,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
13,nikola,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,True,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000000,2021-04-14 18:33:43.000000,2021-04-13 16:30:52.000000,331.0,30.0,2018.0,2110.0,10204.0,2021-02-13 17:21:54.000000,8.1.3,,3254.0,73.0,362.0,362.0,219.0,https://pypi.org/project/nikola,3254.0,,,,1.0,,,,,,,MIT,,,,,,,,,,,
14,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,29,True,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000000,2021-04-15 10:16:04.506000,2021-04-14 13:58:42.000000,153.0,325.0,750.0,997.0,1335.0,2021-04-15 09:58:42.000000,0.11.3,,102343.0,30.0,1273.0,1273.0,65.0,https://pypi.org/project/panel,95839.0,https://anaconda.org/conda-forge/panel,2021-04-15 10:16:04.506000,195142.0,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
15,nbformat,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,29,False,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000000,2021-04-02 17:08:52.492000,2021-04-02 04:39:42.000000,108.0,32.0,63.0,137.0,750.0,2021-04-02 04:40:43.000000,5.1.3,,12331923.0,13.0,102831.0,102831.0,56.0,https://pypi.org/project/nbformat,12252542.0,https://anaconda.org/conda-forge/nbformat,2021-04-02 17:08:52.492000,4762902.0,1.0,,,,,,,,,,,,,,,,,,
16,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,28,False,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-04-15 12:26:06.000000,2021-04-15 07:31:23.000000,1489.0,145.0,1786.0,6454.0,4630.0,,,,139085.0,18.0,1271.0,1271.0,240.0,https://pypi.org/project/jupyterhub,107734.0,https://anaconda.org/conda-forge/jupyterhub,2021-02-25 12:39:56.079000,363759.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-04-15 07:41:31.191797,284.0,2065296.0,,,,,,,,,,,,,
17,ipyleaflet,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,28,True,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000000,2021-04-12 10:46:55.000000,2021-04-12 10:46:55.000000,270.0,150.0,256.0,1107.0,912.0,2021-01-05 16:34:46.000000,0.13.6,,65049.0,59.0,795.0,795.0,64.0,https://pypi.org/project/ipyleaflet,33953.0,https://anaconda.org/conda-forge/ipyleaflet,2021-01-16 23:51:37.383000,646644.0,1.0,,,,,,jupyter-leaflet,MIT,https://www.npmjs.com/package/jupyter-leaflet,20136.0,,,,,,,,,
18,jupyter-matplotlib,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,27,True,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000000,2021-04-08 03:39:40.000000,2021-03-22 22:24:55.000000,142.0,95.0,94.0,1039.0,299.0,2021-03-22 22:29:34.000000,0.7.0,,141092.0,15.0,1336.0,1336.0,23.0,https://pypi.org/project/ipympl,48645.0,,,,2.0,,,,,,jupyter-matplotlib,BSD-3-Clause,https://www.npmjs.com/package/jupyter-matplotlib,92447.0,,,,,,,,,
19,Jupyter Themes,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,26,True,dunovank/jupyter-themes,jupyterthemes,,https://github.com/dunovank/jupyter-themes,2014-12-10 23:22:23.000000,2021-03-11 18:45:24.000000,2021-02-15 23:21:41.000000,919.0,182.0,190.0,8351.0,593.0,,,,37639.0,,2009.0,2009.0,28.0,https://pypi.org/project/jupyterthemes,37639.0,,,,1.0,,,,,,,MIT,,,,,,,,,,,
20,nteract,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,26,True,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,2015-06-15 23:21:49.000000,2021-04-15 09:38:48.000000,2021-04-15 02:01:13.000000,501.0,136.0,1494.0,5489.0,10501.0,2021-01-26 05:18:38.000000,0.28.0,1164229.0,24098.0,66.0,,,166.0,https://pypi.org/project/nteract_on_jupyter,4366.0,,,,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
21,ipyvolume,3d plotting for Python in the Jupyter notebook based on IPython widgets using WebGL.,https://github.com/maartenbreddels/ipyvolume,,widgets,26,True,maartenbreddels/ipyvolume,ipyvolume,conda-forge/ipyvolume,https://github.com/maartenbreddels/ipyvolume,2016-12-21 15:30:13.000000,2021-04-14 08:27:28.000000,2021-04-13 12:27:07.000000,202.0,151.0,123.0,1583.0,929.0,2018-06-11 13:56:17.000000,0.4.5,,26235.0,15.0,445.0,445.0,38.0,https://pypi.org/project/ipyvolume,15661.0,https://anaconda.org/conda-forge/ipyvolume,2020-06-10 13:40:22.698000,276335.0,2.0,,,,,,ipyvolume,MIT,https://www.npmjs.com/package/ipyvolume,5048.0,,,,,,,,,
22,ipython-sql,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,26,True,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,2013-03-20 16:41:10.000000,2021-03-14 13:53:23.000000,2021-03-14 13:53:23.000000,214.0,90.0,37.0,1364.0,251.0,,,,26771.0,3.0,1587.0,1587.0,43.0,https://pypi.org/project/ipython-sql,24914.0,https://anaconda.org/conda-forge/ipython-sql,2020-10-14 09:42:08.609000,103992.0,1.0,,,,,,,MIT,,,,,,,,,,,
23,facets-overview,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,25,True,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,2017-07-07 14:03:03.000000,2021-02-04 17:22:42.000000,2021-02-04 17:22:41.000000,798.0,73.0,76.0,6545.0,262.0,2019-07-01 16:35:20.000000,1.0.0,,129722.0,4.0,42.0,42.0,28.0,https://pypi.org/project/facets-overview,129722.0,,,,2.0,,,,,,,Apache-2.0,,,,,,,,,,,
24,papermill,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,25,True,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,2017-07-06 17:17:53.000000,2021-03-11 16:25:12.955000,2021-03-09 17:53:31.000000,299.0,87.0,216.0,4063.0,,,,,365194.0,16.0,1203.0,1203.0,87.0,https://pypi.org/project/papermill,360743.0,https://anaconda.org/conda-forge/papermill,2021-03-11 16:25:12.955000,142442.0,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
25,repo2docker,Turn repositories into Jupyter-enabled Docker images.,https://github.com/jupyterhub/repo2docker,,notebook-tools,25,True,jupyterhub/repo2docker,jupyter-repo2docker,,https://github.com/jupyterhub/repo2docker,2017-05-09 08:36:30.000000,2021-04-09 08:45:59.000000,2021-03-30 05:54:55.000000,241.0,155.0,269.0,1187.0,2070.0,2021-03-22 08:04:31.000000,2021.03.0,,5721.0,9.0,107.0,107.0,95.0,https://pypi.org/project/jupyter-repo2docker,5721.0,,,,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
26,PixieDust,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,25,True,pixiedust/pixiedust,pixiedust,conda-forge/pixiedust,https://github.com/pixiedust/pixiedust,2016-07-01 17:34:14.000000,2021-02-16 04:46:42.000000,2021-02-16 04:46:41.000000,158.0,163.0,260.0,1003.0,2157.0,2019-12-04 15:06:08.000000,1.1.18,,13453.0,19.0,188.0,188.0,33.0,https://pypi.org/project/pixiedust,12023.0,https://anaconda.org/conda-forge/pixiedust,2021-02-06 13:20:07.331000,24315.0,1.0,,,,,,,Apache-2.0,,,,,,,,,,,
27,JupyterLab Git,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,25,True,jupyterlab/jupyterlab-git,jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,2017-06-20 17:31:00.000000,2021-04-07 07:58:34.000000,2021-04-07 07:58:34.000000,171.0,75.0,368.0,842.0,1631.0,2021-04-03 12:48:04.000000,0.24.0,,57675.0,25.0,13.0,13.0,58.0,https://pypi.org/project/jupyterlab-git,55480.0,https://anaconda.org/conda-forge/jupyterlab-git,2021-04-03 15:11:59.588000,61485.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
28,watermark,"An IPython magic extension for printing date and time stamps, version numbers, and hardware information.",https://github.com/rasbt/watermark,,magic,25,True,rasbt/watermark,watermark,conda-forge/watermark,https://github.com/rasbt/watermark,2014-07-30 03:46:33.000000,2021-02-18 18:12:02.241000,2021-02-18 16:55:13.000000,62.0,14.0,26.0,516.0,81.0,2021-02-18 17:08:16.000000,2.2.0,,116016.0,14.0,950.0,950.0,15.0,https://pypi.org/project/watermark,113164.0,https://anaconda.org/conda-forge/watermark,2021-02-18 18:12:02.241000,154025.0,1.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
29,JupyterLab Debugger,"A visual debugger for Jupyter notebooks, consoles, and source files.",https://github.com/jupyterlab/debugger,,lab-extensions,25,True,jupyterlab/debugger,,,https://github.com/jupyterlab/debugger,2019-07-19 18:19:17.000000,2021-04-01 04:03:45.000000,2021-03-31 14:20:34.000000,32.0,18.0,243.0,488.0,1174.0,2020-12-10 14:31:28.000000,0.3.7,,75460.0,28.0,44.0,44.0,11.0,,,,,,1.0,,,,,,@jupyterlab/debugger,BSD-3-Clause,https://www.npmjs.com/package/@jupyterlab/debugger,75460.0,,,,,,,,,
30,Docker Stacks,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,24,True,jupyter/docker-stacks,,,https://github.com/jupyter/docker-stacks,2015-07-15 15:30:00.000000,2021-04-13 17:16:42.000000,2021-04-13 17:16:41.000000,2244.0,59.0,556.0,6166.0,1746.0,,,,107419.0,,,,194.0,,,,,,2.0,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2021-04-08 11:54:20.012901,292.0,7411947.0,,BSD-3-Clause,,,,,,,,,,,
31,Voila,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,24,False,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,2018-08-21 14:21:42.000000,2021-04-14 09:33:21.000000,2021-04-13 22:56:05.000000,309.0,192.0,279.0,3205.0,882.0,,,,47257.0,45.0,3522.0,3522.0,46.0,https://pypi.org/project/voila,40728.0,https://anaconda.org/conda-forge/voila,2021-04-13 20:40:07.359000,112714.0,2.0,,,,,,@jupyter-voila/jupyterlab-preview,,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,2772.0,,,,,,,,,
32,RISE,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,24,False,damianavila/RISE,RISE,conda-forge/rise,https://github.com/damianavila/RISE,2013-08-26 18:55:36.000000,2021-03-11 13:00:21.741000,2021-01-14 14:07:48.000000,349.0,124.0,278.0,2988.0,733.0,,,,11004.0,9.0,1435.0,1435.0,39.0,https://pypi.org/project/RISE,7211.0,https://anaconda.org/conda-forge/rise,2021-03-11 13:00:21.741000,144137.0,2.0,,,,,,,,,,,,,,,,,,
33,nbdev,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,24,True,fastai/nbdev,nbdev,,https://github.com/fastai/nbdev,2019-11-18 17:37:35.000000,2021-04-08 05:16:01.000000,2021-04-08 01:00:39.000000,275.0,35.0,227.0,2736.0,1228.0,2021-02-23 21:48:06.000000,1.1.13,,39838.0,13.0,,,58.0,https://pypi.org/project/nbdev,39838.0,,,,2.0,,,,,,,Apache-2.0,,,,,,,,,,,
