,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,trending,new_addition,go_id,cran_id,pypi,gem_id,updated_github_id,hex_id,bitbucket_id
74,nbtutor,Visualize Python code execution (line-by-line) in Jupyter Notebook cells.,https://github.com/lgpage/nbtutor,,widgets,20,True,lgpage/nbtutor,,conda-forge/nbtutor,https://github.com/lgpage/nbtutor,2016-11-07 14:08:25.000000,2021-03-07 20:10:37.000000,2021-02-21 18:17:10.000000,31.0,17.0,11.0,378.0,176.0,2016-12-23 12:20:44.000000,1.0.4,,1472.0,2.0,19.0,19.0,3.0,,,https://anaconda.org/conda-forge/nbtutor,2020-10-15 14:07:05.970000,75096.0,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
75,JupyterLab Dash,An Extension for the Interactive development of Dash apps in JupyterLab.,https://github.com/plotly/jupyterlab-dash,,lab-renderer,20,True,plotly/jupyterlab-dash,jupyterlab-dash,,https://github.com/plotly/jupyterlab-dash,2018-11-07 19:47:52.000000,2020-05-19 14:20:53.000000,2020-05-19 11:44:34.000000,47.0,20.0,8.0,343.0,41.0,,,,220351.0,2.0,108.0,108.0,7.0,https://pypi.org/project/jupyterlab-dash,603.0,,,,1.0,,,,,,jupyterlab-dash,MIT,https://www.npmjs.com/package/jupyterlab-dash,219748.0,,,,,,,,,
76,jupyter-server-proxy,Jupyter notebook server extension to proxy web services.,https://github.com/jupyterhub/jupyter-server-proxy,,jupyter-extensions,20,True,jupyterhub/jupyter-server-proxy,jupyter-server-proxy,conda-forge/jupyter-server-proxy,https://github.com/jupyterhub/jupyter-server-proxy,2016-10-18 22:02:06.000000,2021-03-19 06:50:10.000000,2021-03-16 17:31:08.000000,85.0,53.0,75.0,154.0,651.0,2018-12-10 14:39:58.000000,0.8.8,,27298.0,12.0,,,50.0,https://pypi.org/project/jupyter-server-proxy,16156.0,https://anaconda.org/conda-forge/jupyter-server-proxy,2021-03-16 18:23:56.345000,278572.0,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
77,jupyter-packaging,Tools to help build and install Jupyter Python packages.,https://github.com/jupyter/jupyter-packaging,,components,20,False,jupyter/jupyter-packaging,jupyter-packaging,conda-forge/jupyter-packaging,https://github.com/jupyter/jupyter-packaging,2017-03-04 19:38:49.000000,2021-03-24 20:13:35.000000,2021-03-24 20:13:05.000000,29.0,7.0,11.0,24.0,216.0,2021-03-24 20:13:49.000000,0.8.1,,186129.0,15.0,,,16.0,https://pypi.org/project/jupyter-packaging,181090.0,https://anaconda.org/conda-forge/jupyter-packaging,2021-02-11 14:52:06.950000,50396.0,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
78,IHaskell,A Haskell kernel for IPython.,https://github.com/gibiansky/IHaskell,,kernels,19,True,gibiansky/IHaskell,,,https://github.com/gibiansky/IHaskell,2013-08-26 07:16:09.000000,2021-02-28 14:25:09.000000,2021-02-28 14:25:09.000000,223.0,36.0,657.0,2224.0,1880.0,2015-03-26 05:06:25.000000,0.6,,40.0,1.0,4.0,4.0,100.0,,,,,,2.0,,,,,,ihaskell_jupyterlab,MIT,https://www.npmjs.com/package/ihaskell_jupyterlab,40.0,,,,,,,,,
79,IJulia.jl,Julia kernel for Jupyter.,https://github.com/JuliaLang/IJulia.jl,,kernels,19,True,JuliaLang/IJulia.jl,,,https://github.com/JuliaLang/IJulia.jl,2013-03-05 18:20:21.000000,2021-03-24 16:34:04.000000,2021-02-23 23:47:25.000000,349.0,80.0,669.0,2206.0,698.0,2021-02-24 00:04:46.000000,1.23.2,,,41.0,,,99.0,,,,,,2.0,,,,,,,MIT,,,,,,,,,,,
80,xeus-cling,Jupyter kernel for the C++ programming language.,https://github.com/jupyter-xeus/xeus-cling,,kernels,19,True,jupyter-xeus/xeus-cling,,conda-forge/xeus-cling,https://github.com/jupyter-xeus/xeus-cling,2017-04-20 15:35:44.000000,2021-03-16 17:18:48.868000,2021-03-16 14:48:10.000000,186.0,101.0,108.0,1743.0,462.0,,,,3471.0,14.0,,,18.0,,,https://anaconda.org/conda-forge/xeus-cling,2021-03-16 17:18:48.868000,93720.0,2.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
81,IJavascript,IJavascript is a javascript kernel for the Jupyter notebook.,https://github.com/n-riesco/ijavascript,,kernels,19,False,n-riesco/ijavascript,,,https://github.com/n-riesco/ijavascript,2015-02-02 15:46:34.000000,2020-12-02 16:36:07.000000,2020-12-02 16:32:55.000000,122.0,49.0,148.0,1524.0,323.0,2019-09-26 17:23:40.000000,5.2.0,,3041.0,32.0,43.0,43.0,14.0,,,,,,2.0,,,,,,ijavascript,,https://www.npmjs.com/package/ijavascript,3041.0,,,,,,,,,
82,elyra,Elyra extends JupyterLab Notebooks with an AI centric approach.,https://github.com/elyra-ai/elyra,,lab-extensions,19,True,elyra-ai/elyra,elyra,conda-forge/elyra,https://github.com/elyra-ai/elyra,2019-10-22 21:37:58.000000,2021-03-26 01:00:30.000000,2021-03-26 01:00:23.000000,130.0,147.0,689.0,851.0,920.0,,,,879.0,9.0,14.0,14.0,21.0,https://pypi.org/project/elyra,478.0,https://anaconda.org/conda-forge/elyra,2021-01-13 18:23:08.007000,2809.0,2.0,,,,,,,Apache-2.0,,,,,,,,,,,
83,notedown,Markdown = IPython Notebook.,https://github.com/aaren/notedown,,notebook-sharing,19,False,aaren/notedown,notedown,conda-forge/notedown,https://github.com/aaren/notedown,2014-02-17 17:28:59.000000,2021-03-10 10:08:52.000000,2017-11-16 19:29:56.000000,88.0,39.0,29.0,759.0,264.0,,,,2471.0,1.0,113.0,113.0,7.0,https://pypi.org/project/notedown,1523.0,https://anaconda.org/conda-forge/notedown,2018-06-07 01:28:24.567000,31311.0,3.0,,,,,,,BSD-2-Clause,,,,,,,,,,,
84,What-If Tool,Source code/webpage/demos for the What-If Tool.,https://github.com/PAIR-code/what-if-tool,,widgets,19,True,PAIR-code/what-if-tool,witwidget,,https://github.com/PAIR-code/what-if-tool,2018-09-07 20:26:10.000000,2021-03-17 12:46:20.000000,2021-03-17 12:46:20.000000,98.0,36.0,37.0,471.0,319.0,2021-01-19 14:38:47.000000,1.8.0,,7999.0,2.0,,,19.0,https://pypi.org/project/witwidget,4169.0,,,,2.0,,,,,,wit-widget,Apache-2.0,https://www.npmjs.com/package/wit-widget,3830.0,,,,,,,,,
85,ipysheet,Jupyter handsontable integration.,https://github.com/QuantStack/ipysheet,,widgets,19,True,QuantStack/ipysheet,ipysheet,conda-forge/ipysheet,https://github.com/QuantStack/ipysheet,2017-07-10 13:46:31.000000,2021-03-09 00:45:50.000000,2020-04-30 08:50:34.000000,53.0,57.0,48.0,401.0,282.0,,,,8757.0,12.0,3.0,3.0,8.0,https://pypi.org/project/ipysheet,3568.0,https://anaconda.org/conda-forge/ipysheet,2020-10-12 16:07:52.593000,30015.0,2.0,,,,,,ipysheet,MIT,https://www.npmjs.com/package/ipysheet,4035.0,,,,,,,,,
