,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,license,npm_url,npm_monthly_downloads,new_addition,trending,go_id,cran_id,updated_github_id,pypi,gem_id,hex_id,bitbucket_id
161,ipyscales,A widget library for scales.,https://github.com/vidartf/ipyscales,,widgets,16,False,vidartf/ipyscales,ipyscales,conda-forge/ipyscales,https://github.com/vidartf/ipyscales,2017-08-24 20:16:19.000000,2021-01-06 10:53:16.793000,2021-01-05 12:56:43.000000,3.0,1.0,4.0,12.0,172.0,,,,1604.0,7.0,45.0,45.0,4.0,https://pypi.org/project/ipyscales,205.0,https://anaconda.org/conda-forge/ipyscales,2021-01-06 10:53:16.793000,47590.0,3.0,,,,,,,BSD-3-Clause,,,,,,,,,,,
162,geonotebook,A Jupyter notebook extension for geospatial visualization and analysis.,https://github.com/OpenGeoscience/geonotebook,,widgets,15,False,OpenGeoscience/geonotebook,,,https://github.com/OpenGeoscience/geonotebook,2016-07-26 19:48:45.000000,2019-01-21 18:59:02.250643,2019-01-21 15:53:00.000000,136.0,37.0,46.0,1018.0,647.0,,,,2302.0,,,,9.0,,,,,,3.0,geonotebook/geonotebook,https://hub.docker.com/r/geonotebook/geonotebook,2019-01-21 18:59:02.250643,5.0,131237.0,,Apache-2.0,,,,,,,,,,,
163,clojupyter,a Jupyter kernel for Clojure.,https://github.com/clojupyter/clojupyter,,kernels,15,True,clojupyter/clojupyter,,simplect/clojupyter,https://github.com/clojupyter/clojupyter,2014-05-09 07:09:06.000000,2021-01-25 02:00:25.000000,2021-01-25 02:00:24.000000,73.0,16.0,68.0,682.0,259.0,,,,102.0,7.0,,,23.0,,,https://anaconda.org/simplect/clojupyter,2020-03-02 14:14:22.302000,2095.0,3.0,simplect/clojupyter,https://hub.docker.com/r/simplect/clojupyter,2019-04-25 08:25:07.304303,,276.0,,MIT,,,,,,,,,,,
164,jupyter-tensorboard,Start Tensorboard in Jupyter Notebook.,https://github.com/lspvic/jupyter_tensorboard,,jupyter-extensions,15,False,lspvic/jupyter_tensorboard,jupyter-tensorboard,,https://github.com/lspvic/jupyter_tensorboard,2017-08-22 08:05:13.000000,2021-02-25 23:36:10.000000,2020-02-16 06:42:48.000000,66.0,38.0,27.0,450.0,69.0,,,,5970.0,,,,4.0,https://pypi.org/project/jupyter-tensorboard,5970.0,,,,3.0,,,,,,,MIT,,,,,,,,,,,
165,nbgather,Spit shine for Jupyter notebooks.,https://github.com/microsoft/gather,,lab-extensions,15,False,microsoft/gather,,,https://github.com/microsoft/gather,2018-10-08 23:32:10.000000,2021-03-30 20:49:47.000000,2020-02-14 15:11:45.000000,26.0,9.0,16.0,372.0,343.0,,,,154.0,,,,12.0,,,,,,3.0,,,,,,nbgather,MIT,https://www.npmjs.com/package/nbgather,154.0,,,,,,,,,
166,JupyterLab SQL,SQL GUI for JupyterLab.,https://github.com/pbugnion/jupyterlab-sql,,lab-extensions,15,False,pbugnion/jupyterlab-sql,jupyterlab_sql,,https://github.com/pbugnion/jupyterlab-sql,2019-02-01 09:37:05.000000,2021-03-31 10:19:22.000000,2020-01-04 12:02:35.000000,38.0,37.0,37.0,337.0,634.0,,,,1891.0,,,,2.0,https://pypi.org/project/jupyterlab_sql,1891.0,,,,3.0,,,,,,,MIT,,,,,,,,,,,
167,treon,Easy to use test framework for Jupyter Notebooks.,https://github.com/ReviewNB/treon,,notebook-tools,15,True,ReviewNB/treon,treon,,https://github.com/ReviewNB/treon,2019-03-29 15:02:35.000000,2020-10-08 09:00:07.000000,2020-10-08 09:00:06.000000,17.0,2.0,9.0,259.0,56.0,,,,2746.0,,29.0,29.0,4.0,https://pypi.org/project/treon,2746.0,,,,3.0,,,,,,,MIT,,,,,,,,,,,
168,blackcellmagic,IPython magic command to format python code in cell using black.,https://github.com/csurfer/blackcellmagic,,magic,15,False,csurfer/blackcellmagic,blackcellmagic,,https://github.com/csurfer/blackcellmagic,2018-04-25 14:27:26.000000,2020-08-07 13:12:52.000000,2019-04-11 00:12:09.000000,8.0,3.0,5.0,255.0,16.0,,,,3923.0,,110.0,110.0,3.0,https://pypi.org/project/blackcellmagic,3923.0,,,,2.0,,,,,,,MIT,,,,,,,,,,,
169,JupyterLab Tensorboard,Tensorboard extension for jupyterlab.,https://github.com/chaoleili/jupyterlab_tensorboard,,lab-extensions,15,True,chaoleili/jupyterlab_tensorboard,,,https://github.com/chaoleili/jupyterlab_tensorboard,2018-08-14 12:36:26.000000,2021-02-24 06:31:50.000000,2021-02-24 06:31:50.000000,26.0,16.0,8.0,253.0,31.0,,,,5622.0,,2.0,2.0,6.0,,,,,,3.0,,,,,,jupyterlab_tensorboard,MIT,https://www.npmjs.com/package/jupyterlab_tensorboard,5622.0,,,,,,,,,
170,LFortran,Official mirror of https://gitlab.com/lfortran/lfortran. Please submit pull requests (PR) there. Any PR sent here will..,https://github.com/lfortran/lfortran,,kernels,15,False,lfortran/lfortran,lfortran,conda-forge/lfortran,https://github.com/lfortran/lfortran,2019-03-24 13:22:20.000000,2021-04-20 15:47:48.000000,2021-04-20 15:47:23.000000,12.0,,,230.0,4963.0,,,,1111.0,7.0,,,13.0,https://pypi.org/project/lfortran,136.0,https://anaconda.org/conda-forge/lfortran,2021-03-08 22:57:01.503000,20475.0,3.0,,,,,,,,,,,,,,,,,,
171,nbQA,Run any standard Python code quality tool on a Jupyter Notebook.,https://github.com/nbQA-dev/nbQA,,notebook-tools,15,True,nbQA-dev/nbQA,nbqa,,https://github.com/nbQA-dev/nbQA,2020-07-11 15:30:54.000000,2021-04-19 20:03:13.000000,2021-04-19 20:03:09.000000,12.0,25.0,176.0,212.0,478.0,,,,5336.0,,,,12.0,https://pypi.org/project/nbqa,5336.0,,,,3.0,,,,,,,MIT,,,,,,,,,,,
172,gpu-jupyter,Leverage the flexibility of Jupyterlab through the power of your NVIDIA GPU to run your code from Tensorflow and..,https://github.com/iot-salzburg/gpu-jupyter,,notebook-environments,15,True,iot-salzburg/gpu-jupyter,,,https://github.com/iot-salzburg/gpu-jupyter,2019-11-12 20:10:23.000000,2021-04-19 11:34:43.000000,2021-04-19 11:34:36.000000,72.0,4.0,37.0,196.0,200.0,2021-04-08 06:54:08.000000,1.4_cuda-11.0_ubuntu-18.04,,,5.0,,,9.0,,,,,,3.0,,,,,,,Apache-2.0,,,,,,,,,,,
173,JupyterLab Data Explorer,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,15,True,jupyterlab/jupyterlab-data-explorer,,,https://github.com/jupyterlab/jupyterlab-data-explorer,2019-01-03 21:57:42.000000,2020-05-24 13:16:18.000000,2020-05-24 13:16:16.000000,29.0,53.0,34.0,148.0,426.0,,,,160.0,,10.0,10.0,9.0,,,,,,3.0,,,,,,@jupyterlab/dataregistry-extension,BSD-3-Clause,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,160.0,,,,,,,,,
174,jupyterlab-celltags,A JupyterLab extension for notebook cell tags.,https://github.com/jupyterlab/jupyterlab-celltags,,lab-extensions,15,True,jupyterlab/jupyterlab-celltags,,,https://github.com/jupyterlab/jupyterlab-celltags,2018-06-18 22:02:23.000000,2020-04-29 18:27:31.000000,2020-04-29 18:26:29.000000,24.0,11.0,7.0,109.0,441.0,,,,,,211.0,211.0,10.0,,,,,,3.0,,,,,,,BSD-3-Clause,,,,2.0,,,,,,,
